index,Xwidth,Xcumsum,Yval,Xcumsumleft,Macro grouping,Stage subgrouped
277,0.013099298,1274.400631,154560.0137,1274.387532,Liver transplant,Liver Transplant
278,0.250357219,1274.650988,154413.148,1274.400631,Liver transplant,Decomp
279,0.00431838,1274.655307,154325.5286,1274.650988,Liver transplant,Liver Transplant
280,0.000270205,1274.655577,154254.1697,1274.655307,Liver transplant,Liver Transplant - Tx
281,0.000101789,1274.655679,153934.349,1274.655577,Liver transplant,Liver Transplant - Tx
282,0.007345026,1274.663024,153457.7059,1274.655679,Liver transplant,Liver Transplant - Tx
283,0.001982563,1274.665006,153266.2814,1274.663024,Liver transplant,Liver Transplant
284,0.000677372,1274.665684,153148.2414,1274.665006,Liver transplant,Liver Transplant
285,0.03896019,1274.704644,153136.783,1274.665684,Liver transplant,Decomp
286,0.03896019,1274.743604,153136.783,1274.704644,Liver transplant,Decomp
287,0.001028829,1274.744633,153064.3878,1274.743604,Liver transplant,Liver Transplant
288,0.000357292,1274.74499,153027.004,1274.744633,Liver transplant,Liver Transplant
289,6.007285427,1280.752276,152981.4945,1274.74499,Liver transplant,Decomp
290,0.402076789,1281.154352,152299.2335,1280.752276,Liver transplant,Decomp
291,0.11698225,1281.271335,152067.7583,1281.154352,Liver transplant,Decomp
292,3.859797266,1285.131132,151687.9611,1281.271335,Liver transplant,Liver Transplant - Tx
293,0.007744219,1285.138876,151544.9096,1285.131132,Liver transplant,Liver Transplant - Tx
294,0.150895084,1285.289771,151424.1948,1285.138876,Liver transplant,Decomp
295,0.004126127,1285.293897,151400.9539,1285.289771,Liver transplant,Decomp
296,0.012726108,1285.306623,151063.9826,1285.293897,Liver transplant,Decomp
297,1.67214E-05,1285.30664,150731.4737,1285.306623,Liver transplant,Liver Transplant - Tx
298,4.68858E-05,1285.306687,150709.8313,1285.30664,Liver transplant,Liver Transplant - Tx
299,0.00021938,1285.306906,150685.1947,1285.306687,Liver transplant,Liver Transplant - Tx
300,0.000922427,1285.307829,150648.4926,1285.306906,Liver transplant,Liver Transplant - Tx
301,3.63303E-05,1285.307865,150640.8506,1285.307829,Liver transplant,Liver Transplant - Tx
302,2.622449207,1287.930314,150632.2419,1285.307865,Liver transplant,Decomp
303,1.90569665,1289.836011,150629.6343,1287.930314,Liver transplant,Liver Transplant - Tx
304,0.00011911,1289.83613,150601.3945,1289.836011,Liver transplant,Liver Transplant - Tx
305,0.013724133,1289.849854,150585.7606,1289.83613,Liver transplant,Liver Transplant - Tx
306,0.002543885,1289.852398,150585.2967,1289.849854,Liver transplant,Liver Transplant - Tx
307,0.000845107,1289.853243,150584.8828,1289.852398,Liver transplant,Liver Transplant - Tx
308,0.003303208,1289.856547,150551.9556,1289.853243,Liver transplant,Liver Transplant - Tx
309,0.066279253,1289.922826,150487.8316,1289.856547,Liver transplant,Liver Transplant - Tx
310,0.049946083,1289.972772,150477.0361,1289.922826,Liver transplant,Liver Transplant - Tx
311,0.010050941,1289.982823,150472.4941,1289.972772,Liver transplant,Liver Transplant - Tx
312,0.270975947,1290.253799,150366.7874,1289.982823,Liver transplant,Liver Transplant - Tx
313,0.219203382,1290.473002,150313.2674,1290.253799,Liver transplant,Liver Transplant - Tx
314,0.605381434,1291.078384,150200.9154,1290.473002,Liver transplant,Liver Transplant - Tx
315,0.623591159,1291.701975,150104.9244,1291.078384,Liver transplant,Liver Transplant - Tx
316,1.416093402,1293.118068,149847.7071,1291.701975,Liver transplant,Liver Transplant - Tx
317,0.613488313,1293.731556,149399.3804,1293.118068,Liver transplant,Decomp
318,0.004169847,1293.735726,149355.7941,1293.731556,Liver transplant,Liver Transplant - Tx
319,0.014870089,1293.750596,149322.5237,1293.735726,Liver transplant,Decomp
320,0.05834191,1293.808938,149167.5823,1293.750596,Liver transplant,Decomp
321,0.1944135,1294.003352,148984.9336,1293.808938,Liver transplant,Decomp
322,0.1944135,1294.197765,148984.9336,1294.003352,Liver transplant,Decomp
323,0.808180683,1295.005946,148940.1583,1294.197765,Liver transplant,Decomp
324,0.44713556,1295.453082,148292.382,1295.005946,Liver transplant,Decomp
325,0.049919998,1295.503002,147890.953,1295.453082,Liver transplant,Decomp
326,1.865075053,1297.368077,146731.7704,1295.503002,Liver transplant,Liver Transplant - Tx
327,4.06805192,1301.436128,146461.9409,1297.368077,Liver transplant,Liver Transplant - Tx
328,0.000101275,1301.43623,146411.1106,1301.436128,Liver transplant,Decomp
329,0.000251605,1301.436481,146377.0755,1301.43623,Liver transplant,Decomp
